trajets;classe1;classe2;classe3;payage moyen;distance;cout investissement;net annuel par tarrification
CASABLANCA-RABAT;23;34;41;33;95;2850;163
CASABLANCA-BENI YAKHLAF;6;9;12;9;29;858;45
CASABLANCA-MOHAMMEDIA;11;16;20;16;27;810;78
RABAT-BOUZNIKA;11;16;20;16;42;1254;78
RABAT-BOUKNADEL;7;10;13;10;37;1095;50
RABAT-KENITRA;13;22;27;21;55;1638;103
TAMESNA-AL MANZEH;3;5;6;5;25;735;23
TAMESNA-OUM AZZA;8;12;16;12;26;774;60
TAMSNA-SALA AL JADIDA;12;18;24;18;31;930;90
KENITRA NORD-SIDI ALLAL TAZI;13;21;25;20;48;1431;98
KENITRA NORD-MOULAY BOUSSELHAM;28;44;53;42;96;2889;208
KENITRA NORD-LARACHE;39;59;71;56;128;3840;282
KENITRA NORD-SIDI EL YAMANI;49;76;92;72;158;4740;362
KENITRA NORD-ASSILAH;55;82;99;79;168;5040;393
KENITRA NORD-TANGER;66;98;118;94;207;6210;470
KENITRA NORD-RN2;76;120;144;113;204;6120;567
KENITRA NORD-MELLOUSSA;82;131;158;124;228;6840;618
KENITRA NORD-PORT OUED RMEL;87;148;179;138;226;6780;690
SIDI ALLAL TAZI-MOULAY BOUSSELHAM;14;23;28;22;48;1440;108
SIDI ALLAL TAZI-LARACHE;27;39;48;38;80;2400;190
SIDI ALLAL TAZI-SIDI EL YAMANI;35;55;66;52;110;3300;260
SIDI ALLAL TAZI-ASSILAH;40;61;74;58;120;3600;292
SIDI ALLAL TAZI-TANGER;51;78;93;74;160;4800;370
SIDI ALLAL TAZI-RN2;62;99;120;94;156;4680;468
SIDI ALLAL TAZI-MELLOUSA;67;109;131;102;180;5400;512
SIDI ALLAL TAZI-PORT OUED RMEL;76;127;152;118;178;5340;592
MOULAY BOUSSELHAM-LARACHE;11;16;20;16;32;960;78
MOULAY BOUSSELHAM-SIDI EL YAMANI;22;33;40;32;62;1860;158
MOULAY BOUSSELHAM-ASSILAH;27;39;48;38;72;2160;190
MOULAY BOUSSELHAM-TANGER;38;56;67;54;111;3330;268
MOULAY BOUSSELHAM-RN2;49;79;95;74;113;3390;372
MOULAY BOUSSELHAM-MELLOUSSA;51;88;107;82;132;3960;410
MOULAY BOUSSELHAM-PORT OUED RMEL;60;109;131;100;130;3900;500
LARACHE-SIDI EL YAMANI;9;13;16;13;30;900;63
LARACHE-ASSILAH;14;23;28;22;40;1200;108
LARACHE-TANGER;27;39;48;38;80;2400;190
LARACHE-RN2;36;61;74;57;76;2280;285
LARACHE-MELLOUSSA;40;71;86;66;98;2940;328
LARACHE-PORT OUED RMEL;49;88;107;81;100;3000;407
SIDI EL YAMANI-ASSILAH;5;9;11;8;10;300;42
SIDI EL YAMANI-TANGER;16;27;33;25;50;1500;127
SIDI EL YAMANI-RN2;27;49;59;45;52;1560;225
SIDI EL YAMANI-MELOUSSA;33;60;72;55;70;2100;275
SIDI EL YAMANI-PORT OUED RMEL;39;76;92;69;68;2040;345
ASSILAH-TANGER;11;16;20;16;40;1200;78
ASSILAH-RN2;22;39;48;36;38;1140;182
ASSILAH-MELOUSSA;27;49;59;45;58;1740;225
ASSILAH-OUED RMEL;34;71;86;64;56;1680;318
TANGER -RN2;10;22;27;20;2;60;98
TANGER -MELLOUSSA;14;32;38;28;20;600;140
TANGER -PORT OUED RMEL;23;50;61;45;18;540;223
RN2-MELLOUSSA;5;11;14;10;22;660;50
RN2-OUED RMEL;12;28;35;25;20;600;125
MELLOUSSA-OUED RMEL;8;18;21;16;2;60;78
TETOUAN-MDIQ;4;7;8;6;14;420;32
TETOUAN-SMIR;7;11;14;11;24;708;53
TETOUAN-FNIDEQ;11;16;20;16;32;960;78
MDIQ-SMIR;7;11;14;11;10;300;53
MDIQ-FNIDEQ;11;16;20;16;18;540;78
SMIR- FNIDEQ;7;11;14;11;8;240;53
SMIR – TETOUAN ( Nouvelle Gare ouverture en PE );7;11;14;11;24;720;53
SMIR – FNIDEK   ( Nouvelle Gare ouverture en PE );7;11;14;11;18;540;53
OUJDA-EL AIOUN;15;26;32;24;15;456;122
OUJDA-TAOURIRT EST;31;52;63;49;30;913;243
OUJDA-RN19 ( ROUTE NADOR);33;56;67;52;33;975;260
OUJDA-GUERCIF;44;74;90;69;43;1300;347
OUJDA-M'SOUN;57;96;116;90;56;1681;448
OUJDA-TAZA EST;66;111;134;104;65;1944;518
OUJDA-TAZA OUEST;69;117;141;109;68;2044;545
OUJDA-OUED AMLIL;75;128;154;119;74;2231;595
OUJDA-TAHLA;83;141;169;131;82;2456;655
OUJDA-RAS TABOUDA;92;156;188;145;91;2725;727
OUJDA-FES EST;100;170;205;158;99;2969;792
OUJDA-FES SAIS;104;177;213;165;103;3088;823
OUJDA-FES VILLE;106;180;216;167;105;3138;837
OUJDA-AIN TAOUJTATE;113;191;230;178;111;3338;890
OUJDA-MEKNES EST;119;201;241;187;117;3506;935
OUJDA-MEKNES OUEST;122;207;249;193;120;3613;963
OUJDA-KHEMISSET;141;235;282;219;137;4113;1097
OUJDA TIFLET;150;246;295;230;144;4319;1152
OUJDA-SIDI ALLAL AL BAHRAOUI;156;256;308;240;150;4500;1200
EL AIOUN-TAOURIRT EST;15;26;32;24;15;456;122
EL AIOUN-RN19 ( ROUTE NADOR);18;30;36;28;18;525;140
EL AIOUN-GUERCIF;28;48;58;45;28;838;223
EL AIOUN-M'SOUN;42;71;86;66;41;1244;332
EL AIOUN-TAZA EST;49;84;101;78;49;1463;390
EL AIOUN-TAZA OUEST;54;91;109;85;53;1588;423
EL AIOUN-OUED AMLIL;60;103;124;96;60;1794;478
EL AIOUN-TAHLA;68;115;138;107;67;2006;535
